jobId,date,hours,amount,outlier
1,2023-08-29,4,284.64,1
1,2024-02-19,3,69.75,0
1,2023-06-24,4,176.9,0
1,2023-06-26,4,126.05,0
1,2023-10-14,7,177.77,0
1,2023-12-29,6,199.96,0
1,2023-10-27,5,150.04,0
1,2023-12-18,7,222.76,0
1,2024-05-25,5,191.43,0
1,2023-10-25,3,104.35,0
1,2024-05-26,3,292.05,1
1,2023-08-28,6,244.91,0
1,2024-05-02,6,169.7,0
1,2023-07-30,6,306.69,1
1,2023-12-06,3,122.84,0
1,2024-03-07,4,124.4,0
1,2023-11-22,6,169.07,0
1,2024-04-15,3,228.04,0
1,2023-08-18,4,175.56,0
1,2024-04-26,4,184.71,0
1,2023-07-21,3,119.05,0
1,2023-08-03,6,107.38,0
1,2023-09-15,5,206,0
1,2023-09-02,4,202.6,0
1,2024-03-06,3,65.42,0
1,2024-02-11,3,219.52,0
1,2024-01-12,5,243.82,0
1,2024-02-20,3,272.7,1
1,2023-06-22,3,98.08,0
1,2023-10-10,6,247.06,0
1,2023-10-12,7,283.33,1
1,2024-06-07,5,232.6,0
1,2024-04-18,4,162.86,0
1,2023-09-14,6,80.81,0
1,2024-04-22,6,90.33,0
1,2024-03-27,6,218.11,0
1,2023-07-24,3,234.63,0
1,2023-07-08,5,217.9,0
1,2024-03-31,4,296.51,1
1,2023-12-16,6,122.77,0
1,2023-06-23,7,273.84,1
1,2024-04-25,3,153.35,0
1,2023-08-12,4,242.51,0
1,2023-12-22,7,154.75,0
1,2024-01-30,4,266.62,1
1,2024-05-23,6,140.65,0
1,2024-02-22,5,178.21,0
1,2024-01-28,3,251.52,1
1,2023-06-14,5,226.98,0
1,2023-06-06,4,293.6,1
1,2023-08-16,3,95.41,0
1,2024-01-17,3,113.04,0
1,2024-05-19,3,221.98,0
1,2024-03-03,4,308.34,1
1,2024-07-04,6,238.63,0
1,2024-05-29,4,222.36,0
1,2023-08-27,6,288.36,1
1,2023-07-01,7,204.09,0
1,2024-05-31,3,66.08,0
1,2023-06-05,7,125.66,0
1,2023-10-03,6,329.71,1
1,2023-09-24,3,241.73,0
1,2023-06-30,4,79.69,0
1,2024-01-22,5,222.53,0
1,2023-09-04,5,75.67,0
1,2023-12-28,4,189.03,0
1,2024-03-02,6,141.42,0
1,2024-02-03,3,86.97,0
1,2023-06-02,7,197.73,0
1,2024-05-01,5,231.33,0
1,2024-04-02,4,229.01,0
1,2023-06-01,4,101.52,0
1,2023-12-01,7,110.96,0
1,2023-06-17,4,161.48,0
1,2024-05-14,4,288.67,1
1,2023-07-04,4,255.05,1
1,2023-08-10,4,168.17,0
1,2023-06-09,3,231.98,0
1,2024-02-15,3,118.75,0
1,2024-02-24,6,100.73,0
1,2023-10-16,5,140.3,0
1,2023-06-27,6,259.68,1
1,2023-07-27,7,263.47,1
1,2023-10-06,6,225.31,0
1,2024-01-10,3,138.95,0
1,2024-01-26,3,202.53,0
1,2023-06-16,3,220.29,0
1,2023-12-11,7,156.52,0
1,2023-06-28,5,95.9,0
1,2023-12-25,4,128.12,0
1,2023-10-23,5,113.88,0
1,2024-01-21,7,297.29,1
1,2024-03-20,5,211.67,0
1,2023-08-01,7,270.87,1
1,2023-10-08,5,329.43,1
1,2023-06-13,4,263.66,1
1,2024-04-14,4,247.72,0
1,2024-02-01,3,96.56,0
1,2024-06-23,4,283.25,1
1,2024-02-23,3,149.26,0
1,2024-06-30,5,241.3,0
1,2023-09-27,3,231.18,0
1,2023-07-25,3,246.42,0
1,2024-06-12,3,108,0
1,2024-03-08,6,244.82,0
1,2023-09-03,3,235.6,0
1,2024-01-16,3,224.58,0
1,2023-09-28,4,121.36,0
1,2024-02-09,6,261.12,1
1,2024-03-15,7,120.68,0
1,2024-01-03,3,209.6,0
1,2024-06-06,5,220.73,0
1,2024-06-21,6,245.93,0
1,2023-09-21,6,157.41,0
1,2024-03-16,4,250.87,1
1,2024-02-17,6,160.64,0
1,2023-12-14,7,192.69,0
1,2024-04-11,4,236.03,0
1,2023-12-27,7,138.04,0
1,2024-02-14,4,242.26,0
1,2024-05-04,3,174.57,0
1,2023-07-05,3,184.06,0
1,2023-11-19,4,250.52,1
1,2024-06-08,4,197.22,0
1,2023-10-11,5,128,0
1,2024-06-05,5,149.48,0
1,2023-09-08,3,223.4,0
1,2024-07-02,7,346.98,1
1,2024-05-13,4,106.99,0
1,2023-11-01,7,131.99,0
1,2023-07-10,4,92.03,0
1,2024-05-28,3,291.45,1
1,2023-12-10,6,257.53,1
1,2024-03-12,3,237.07,0
1,2024-01-06,3,245.46,0
1,2024-01-25,5,122.49,0
1,2024-06-25,7,294.6,1
1,2023-08-24,4,241.38,0
1,2024-04-17,6,134.99,0
1,2024-05-06,7,261.07,1
1,2023-10-05,5,211.59,0
1,2024-01-14,7,292.49,1
1,2023-11-27,5,255.09,1
1,2024-04-08,3,190.62,0
1,2023-12-03,7,309.45,1
1,2024-04-30,6,333.6,1
1,2023-12-21,5,233.8,0
1,2023-06-11,4,231.41,0
1,2023-07-09,4,231.37,0
1,2024-03-09,4,147.6,0
1,2024-02-29,3,75.87,0
1,2023-08-17,3,120.16,0
1,2024-01-04,6,263.52,1
1,2024-03-04,5,187.44,0
1,2023-11-20,4,243.64,0
1,2023-07-13,5,83.84,0
1,2023-07-28,5,269.15,1
1,2023-06-20,4,262.43,1
1,2024-02-02,3,67.44,0
1,2024-04-13,3,128.86,0
1,2023-09-09,6,266,1
1,2023-10-07,4,75.73,0
1,2023-07-19,3,118.51,0
1,2023-12-26,7,325.66,1
1,2023-06-29,4,124.96,0
1,2023-12-31,5,261.06,1
1,2024-05-22,6,191.93,0
1,2023-08-26,6,135.78,0
1,2023-08-04,5,84.91,0
1,2023-11-17,7,187.25,0
1,2023-07-12,7,194.81,0
1,2023-10-26,5,99.91,0
1,2024-03-11,6,225.49,0
1,2023-10-15,6,273.95,1
1,2023-12-02,5,126.76,0
1,2023-08-09,7,286.35,1
1,2024-01-18,4,163.93,0
1,2024-02-18,7,293.98,1
1,2024-05-30,5,114.09,0
1,2023-11-18,4,102.34,0
1,2023-07-16,6,315.59,1
1,2023-11-05,6,283.29,1
1,2024-02-27,7,331.54,1
1,2024-02-10,4,132.46,0
1,2023-09-20,3,135.69,0
1,2024-01-01,4,213.75,0
1,2023-09-23,7,276.78,1
1,2024-07-01,4,182.71,0
1,2023-12-17,3,227.82,0
1,2024-02-21,5,127.07,0
1,2024-06-17,3,138.83,0
1,2023-07-29,6,135.74,0
1,2024-06-10,4,199.49,0
1,2023-11-25,3,131.65,0
1,2024-03-19,7,344.67,1
1,2023-11-28,6,269.12,1
1,2023-11-16,4,181.99,0
1,2024-06-24,4,230.46,0
1,2024-06-29,3,184.11,0
1,2024-04-29,4,144.73,0
1,2023-11-03,3,121.52,0
1,2024-03-18,5,187.59,0
1,2023-10-31,7,264.04,1
1,2024-04-23,4,304.4,1
1,2023-10-22,4,274.51,1
1,2024-04-21,7,328.78,1
1,2023-06-21,7,90.21,0
1,2024-02-12,6,124.07,0
1,2024-05-16,6,206.45,0
1,2023-10-01,5,270.32,1
1,2024-04-20,3,199.84,0
1,2024-05-21,6,331.88,1
1,2024-05-09,7,110.09,0
1,2024-05-15,5,145.04,0
1,2023-09-26,3,229.24,0
1,2023-08-13,5,282.8,1
1,2023-09-22,3,67.89,0
1,2023-11-24,4,235.39,0
1,2024-06-22,4,84.92,0
1,2023-12-12,4,277.16,1
1,2023-07-03,7,94.58,0
1,2023-09-30,5,204.97,0
1,2024-06-04,3,279.84,1
1,2023-12-23,3,89.13,0
1,2023-11-15,6,142.01,0
1,2024-02-08,3,212.36,0
1,2023-08-02,6,194.3,0
1,2024-02-28,5,107.98,0
1,2024-06-13,5,171.92,0
1,2024-05-11,6,136.82,0
1,2023-10-30,3,214.11,0
1,2024-03-29,6,160.57,0
1,2024-06-16,4,314.04,1
1,2023-08-07,3,165.48,0
1,2024-06-26,3,94.91,0
1,2024-04-04,7,182.09,0
1,2024-03-10,4,311.31,1
1,2024-01-24,4,115.63,0
1,2023-08-06,7,356.87,1
1,2023-07-14,7,177.16,0
1,2023-09-18,7,259.08,1
1,2024-02-25,7,267.22,1
1,2023-07-20,6,267.54,1
1,2024-04-07,6,261.1,1
1,2023-11-07,7,311.54,1
1,2023-11-14,6,281.9,1
1,2023-09-07,6,116.05,0
1,2023-10-28,3,169.16,0
1,2023-10-21,5,212.4,0
1,2023-06-25,7,260.96,1
1,2023-09-17,7,281.22,1
1,2023-11-10,7,143.77,0
1,2023-08-25,7,289.08,1
1,2024-03-05,5,267.87,1
1,2024-03-25,6,223.11,0
1,2024-01-23,6,343.81,1
1,2024-04-12,3,112.83,0
1,2023-07-26,4,199.36,0
1,2024-02-05,5,235.22,0
1,2023-11-02,6,112.33,0
1,2023-11-29,6,160.53,0
1,2024-08-27,3,209.28,0
1,2024-11-29,6,203.9,0
1,2024-09-06,6,233.54,0
1,2024-08-20,5,253.72,1
1,2024-11-18,6,132.25,0
1,2024-10-15,4,313.9,1
1,2024-10-29,3,224.68,0
1,2024-07-15,4,145.28,0
1,2024-09-18,5,263.72,1
1,2024-08-05,5,149.25,0
1,2024-10-24,5,226.95,0
1,2024-10-18,6,171.94,0
1,2024-11-07,5,224.55,0
1,2024-12-07,3,226.91,0
1,2024-08-21,6,111.12,0
1,2024-08-22,7,226.27,0
1,2024-10-22,4,309.85,1
1,2024-09-12,5,84.36,0
1,2024-08-29,6,235.54,0
1,2024-12-11,7,258.02,1
1,2024-09-09,5,130.61,0
1,2024-11-19,4,310.39,1
1,2024-10-31,3,192.25,0
1,2024-11-22,7,169.13,0
1,2024-12-27,4,92.94,0
1,2024-07-27,4,77.16,0
1,2024-07-07,7,307.68,1
1,2024-08-26,6,86.37,0
1,2024-09-01,4,281.54,1
1,2024-08-08,4,194.61,0
1,2024-08-30,3,184.42,0
1,2024-11-14,4,91.47,0
1,2024-08-28,6,139.08,0
1,2024-11-30,7,251.3,1
1,2024-08-10,7,194.43,0
1,2024-11-25,7,275.97,1
1,2024-08-11,3,239.75,0
1,2024-10-19,4,258.27,1
1,2024-08-02,6,249.91,0
1,2024-12-17,6,344.71,1
1,2024-09-25,4,154.82,0
1,2024-12-21,3,244.99,0
1,2024-07-06,4,89.61,0
1,2024-10-20,7,334.49,1
1,2024-10-01,4,259.68,1
1,2024-10-03,7,197.05,0
1,2024-12-08,6,308.78,1
1,2024-12-18,3,57.81,0
1,2024-11-23,5,90.56,0
1,2024-11-21,6,211.36,0
1,2024-08-23,7,94.49,0
1,2024-07-23,4,302.09,1
1,2024-12-09,7,154.49,0
1,2024-08-17,6,170.25,0
1,2024-11-16,5,85.94,0
1,2024-12-16,4,136.79,0
1,2024-08-24,7,255.55,1
1,2024-11-09,6,144.88,0
1,2024-11-12,6,303.13,1
1,2024-09-14,6,107.72,0
1,2024-07-20,6,131.07,0
1,2024-10-17,7,283.34,1
1,2024-09-02,3,157.94,0
1,2024-12-30,5,126.89,0
1,2024-12-29,6,284.23,1
1,2024-09-13,5,246.9,0
1,2024-11-17,5,322.19,1
1,2024-11-11,6,180.57,0
1,2024-07-30,5,325.59,1
1,2024-12-13,5,203.07,0
1,2024-11-01,6,252.76,1
1,2024-11-27,3,84.49,0
1,2024-08-25,4,221.09,0
1,2024-12-31,6,305.59,1
1,2024-08-16,3,228.3,0
1,2024-08-13,7,292.32,1
1,2024-10-10,5,253.42,1
1,2024-08-07,6,231.85,0
1,2024-11-13,5,128.07,0
1,2024-07-19,4,145.59,0
1,2024-10-07,6,136.78,0
1,2024-08-14,6,166.19,0
1,2024-09-24,6,271.5,1
2,2024-10-27,4,277.94,1
2,2024-10-28,7,200.82,0
2,2024-09-27,5,383.54,1
2,2024-09-21,3,118.56,0
2,2024-12-06,3,263.66,1
2,2024-12-23,7,304.17,1
2,2024-11-28,7,291.44,1
2,2024-09-22,3,161,0
2,2024-12-26,5,198.83,0
2,2024-10-09,4,335.59,1
2,2024-12-01,7,307.89,1
2,2024-10-16,4,324.78,1
2,2024-11-06,5,169.22,0
2,2024-10-05,6,372.6,1
2,2024-07-05,6,172.51,0
2,2024-12-19,7,317.06,1
2,2024-09-30,4,160.46,0
2,2024-08-04,7,210.53,0
2,2024-09-29,5,353.7,1
2,2024-09-03,5,210.06,0
2,2024-09-19,5,351.85,1
2,2024-12-05,3,331.12,1
2,2024-08-12,5,317.77,1
2,2024-08-19,6,313.03,1
2,2024-12-10,4,368.46,1
2,2024-10-11,6,277.01,1
2,2024-10-14,3,181.95,0
2,2024-11-05,6,292.73,1
2,2024-07-31,7,252,1
2,2024-09-07,7,346.62,1
2,2024-10-26,7,206.33,0
2,2024-09-28,5,388.06,1
2,2024-12-12,5,160.49,0
2,2024-09-26,7,202.91,0
2,2024-10-13,7,337.35,1
2,2024-08-15,7,299.1,1
2,2024-07-25,5,323.22,1
2,2024-09-20,5,266.01,1
2,2024-07-22,3,172.52,0
2,2024-11-02,7,291.97,1
2,2024-12-15,3,156.65,0
2,2024-11-10,3,267.69,1
2,2024-09-10,5,299.98,1
2,2024-08-31,3,139.69,0
2,2024-07-29,6,383.84,1
2,2024-11-04,7,400.45,1
2,2024-10-23,7,206.16,0
2,2024-07-10,5,168.16,0
2,2024-10-06,5,155,0
2,2024-11-20,4,171.29,0
2,2024-11-03,6,288.34,1
2,2024-11-08,6,240.16,0
2,2024-07-16,5,247.69,0
2,2024-09-11,5,153.01,0
2,2024-08-06,3,163.57,0
2,2024-10-04,5,228.53,0
2,2024-10-02,3,180.13,0
2,2024-08-09,4,210.42,0
2,2024-07-08,3,228.15,0
2,2024-07-21,3,221.55,0
2,2024-07-13,4,169.14,0
2,2024-12-28,3,112.4,0
2,2024-07-11,5,235.37,0
2,2024-09-23,5,369.4,1
2,2024-12-22,3,289.17,1
2,2024-10-12,4,175.05,0
2,2024-09-05,6,283.58,1